                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4353,                 7.0756,                 1.4656,                0.41909,                0.57447,                0.42531,                0.22875,                 1.5485,                 3.7771,                 1.5787,              0.0006659,              0.0006659,              0.0006659
                      2,                 1.4677,                 4.7746,                 1.5177,                0.58456,                0.68085,                0.61103,                0.37252,                 1.4386,                 2.6316,                 1.5146,              0.0013062,              0.0013062,              0.0013062
                      3,                 1.4962,                  3.291,                 1.5365,                0.71575,                0.70213,                0.74402,                0.45569,                 1.3764,                 1.9158,                 1.4723,              0.0019201,              0.0019201,              0.0019201
                      4,                 1.4748,                 2.3732,                 1.4765,                0.92106,                0.74468,                0.83349,                0.50877,                 1.3785,                 1.3463,                  1.441,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4449,                 1.8996,                 1.4321,                0.93375,                0.67021,                0.84906,                0.51189,                 1.3492,                 1.2219,                 1.4244,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4269,                 1.5762,                 1.4722,                0.93101,                 0.7766,                0.90286,                  0.527,                 1.3418,                 1.2482,                 1.4417,               0.001802,               0.001802,               0.001802
                      7,                 1.3997,                 1.4246,                 1.4173,                 0.8798,                0.77865,                0.84376,                0.48921,                 1.4253,                 1.1801,                 1.4842,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3936,                 1.3284,                 1.4258,                0.91055,                0.88298,                0.89404,                0.55387,                 1.3495,                 1.2173,                 1.4331,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3602,                 1.2966,                 1.4082,                0.92038,                0.79787,                  0.869,                0.54074,                 1.3401,                 1.1501,                  1.418,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3403,                 1.1995,                 1.3812,                0.97466,                0.85106,                 0.8979,                 0.5766,                 1.3181,                 1.0442,                 1.4096,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.302,                 1.0989,                 1.3542,                0.91097,                0.87085,                0.90737,                0.56266,                  1.392,                 1.0804,                 1.4526,               0.001604,               0.001604,               0.001604
                     12,                 1.3116,                 1.1004,                 1.3491,                0.94893,                0.79074,                0.88239,                0.57648,                 1.3167,                 1.0573,                 1.4056,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3064,                 1.1342,                 1.3801,                0.92227,                0.81915,                0.88319,                0.56833,                 1.3155,                 1.1775,                 1.3885,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2853,                 1.0831,                 1.3253,                0.94015,                0.83552,                0.90861,                0.54461,                 1.4069,                0.98032,                 1.4437,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.2994,                 1.1117,                 1.3567,                0.98109,                0.85106,                0.91257,                0.58926,                 1.2891,                0.97993,                 1.3847,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2711,                 1.0783,                 1.3401,                0.91769,                0.79787,                0.90937,                0.56623,                 1.3982,                 1.2083,                  1.424,               0.001406,               0.001406,               0.001406
                     17,                 1.2609,                 1.0367,                  1.314,                0.92142,                0.87327,                0.92077,                0.60504,                 1.3035,                0.93283,                 1.3625,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2189,                0.99256,                 1.2814,                0.92262,                0.85106,                0.90745,                0.57895,                  1.345,                 1.0338,                 1.3922,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.2187,                0.93862,                 1.2952,                0.95248,                0.85106,                0.90886,                0.60325,                 1.2824,                0.98314,                 1.3733,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2261,                0.94564,                 1.2935,                 0.9679,                 0.8617,                0.93906,                0.62019,                 1.2972,                 1.0328,                 1.3578,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.2726,                0.94481,                 1.3384,                0.96085,                0.82979,                 0.9243,                0.57462,                 1.3631,                0.98093,                 1.3809,               0.001208,               0.001208,               0.001208
                     22,                 1.2234,                0.90877,                 1.2939,                0.92634,                0.80272,                0.90357,                0.60896,                 1.2579,                 1.1854,                 1.3465,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.2201,                0.95928,                 1.2767,                0.97585,                0.85989,                  0.935,                0.62799,                 1.3027,                0.92708,                 1.3651,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.2263,                0.85746,                  1.268,                0.95353,                 0.8731,                0.91443,                0.59517,                 1.3106,                0.96652,                 1.3632,              0.0010892,              0.0010892,              0.0010892
                     25,                  1.174,                0.85087,                  1.226,                0.96221,                0.87234,                0.93498,                0.60217,                 1.3034,                0.86258,                 1.3597,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1871,                0.88202,                 1.2551,                0.97616,                 0.8713,                0.93422,                0.62058,                 1.3466,                  0.849,                  1.398,                0.00101,                0.00101,                0.00101
                     27,                 1.2027,                0.85961,                 1.2614,                0.94403,                0.89711,                0.92556,                0.59736,                 1.3241,                0.97637,                 1.3913,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1709,                0.83418,                 1.2292,                0.95449,                0.89251,                0.94096,                0.60619,                 1.3073,                0.85862,                 1.3601,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1912,                0.85019,                 1.2592,                0.96137,                0.88298,                0.94874,                0.62612,                 1.2762,                0.76045,                 1.3244,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1414,                0.82024,                 1.2143,                 0.9745,                0.88298,                0.94483,                0.62688,                 1.3294,                0.77225,                  1.364,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.1864,                 0.8284,                 1.2391,                0.96917,                0.90426,                0.93996,                0.63111,                 1.2807,                0.75299,                 1.3312,               0.000812,               0.000812,               0.000812
                     32,                 1.2014,                0.83145,                 1.2832,                0.93657,                0.92553,                0.94103,                0.63073,                 1.2651,                0.74712,                 1.3173,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0976,                0.72922,                 1.1913,                0.96029,                0.90426,                 0.9333,                 0.6292,                 1.2629,                0.81734,                 1.3243,              0.0007328,              0.0007328,              0.0007328
                     34,                  1.155,                0.75846,                 1.2209,                0.97636,                0.88298,                0.94449,                0.61046,                 1.3116,                0.80415,                 1.3475,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.1488,                0.78432,                 1.2184,                0.98344,                0.89362,                0.93483,                 0.6167,                 1.3073,                 0.8296,                 1.3422,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.1478,                0.77274,                  1.221,                0.97649,                0.88369,                0.94524,                0.62834,                 1.2857,                0.78818,                 1.3331,               0.000614,               0.000614,               0.000614
                     37,                 1.1002,                0.73724,                 1.1928,                0.97427,                0.91489,                0.94337,                0.64365,                 1.2665,                0.77125,                 1.3325,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1582,                0.77227,                 1.2472,                0.97644,                0.88165,                 0.9475,                0.63278,                 1.2952,                0.77061,                 1.3288,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0722,                0.70039,                 1.1504,                0.97332,                0.88298,                 0.9526,                0.64754,                 1.2835,                0.72453,                 1.3379,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0974,                0.72464,                 1.2004,                0.97694,                0.90154,                0.95598,                0.66163,                 1.2689,                 0.7105,                 1.3126,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1545,                0.61698,                 1.2452,                 0.9642,                0.92553,                0.95477,                 0.6463,                 1.2648,                0.71338,                 1.3199,               0.000416,               0.000416,               0.000416
                     42,                 1.1593,                0.60954,                 1.2544,                0.96106,                0.90426,                0.94419,                0.63755,                  1.291,                0.73157,                 1.3259,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.1384,                0.58375,                 1.2473,                0.94852,                0.89362,                0.94784,                  0.633,                 1.2682,                0.65129,                 1.3367,              0.0003368,              0.0003368,              0.0003368
                     44,                  1.137,                0.56296,                 1.2198,                0.97636,                0.87871,                0.95486,                0.64413,                 1.2581,                0.65595,                 1.3293,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0999,                0.56244,                  1.221,                0.94556,                0.90426,                0.95584,                0.62847,                  1.266,                0.67785,                  1.323,              0.0002576,              0.0002576,              0.0002576
